Start Date,n_trials
1998-01-01,1
2010-03-01,1
2011-02-01,1
2011-03-01,1
2012-01-01,1
2012-02-01,1
2012-05-01,1
2013-01-01,1
2013-04-01,1
2013-10-01,1
2014-01-01,1
2015-01-01,1
2015-10-01,1
2016-01-01,1
2016-04-01,2
2016-07-01,1
2016-10-01,1
2016-11-01,1
2017-01-01,2
2017-02-01,2
2017-03-01,1
2017-04-01,2
2017-05-01,1
2017-06-01,2
2017-07-01,3
2017-08-01,1
2017-09-01,3
2017-10-01,4
2017-11-01,1
2017-12-01,2
2018-01-01,4
2018-02-01,6
2018-03-01,3
2018-04-01,3
2018-05-01,4
2018-06-01,2
2018-07-01,3
2018-08-01,3
2018-09-01,1
2018-10-01,4
2018-11-01,4
2018-12-01,2
2019-01-01,13
2019-02-01,1
2019-03-01,8
2019-04-01,7
2019-05-01,6
2019-06-01,6
2019-07-01,5
2019-08-01,6
2019-09-01,8
2019-10-01,12
2019-11-01,6
2019-12-01,15
2020-01-01,61
2020-02-01,100
2020-03-01,417
2020-04-01,825
2020-05-01,645
2020-06-01,502
2020-07-01,361
2020-08-01,265
2020-09-01,306
2020-10-01,257
2020-11-01,243
2020-12-01,263
2021-01-01,243
2021-02-01,217
2021-03-01,196
2021-04-01,125
2021-05-01,27
2021-06-01,15
2021-07-01,4
2021-08-01,2
2021-09-01,8
2021-10-01,3
2021-11-01,2
2021-12-01,1
